_id,OBJECTID,AGENCY_NAME,ORGANIZATION_ADDRESS,NEIGHBOURHOOD,OFFICE_PHONE,EMAIL,WEBSITE,ELIGIBILITY,DESCRIPTION_SERVICE,APPLICATION,LANGUAGES,ACCESSIBILITY,HOURS,LEGAL_STATUS,DATE_UPDATED,ADDRESS_POINT_ID,X,Y,LONGITUDE,LATITUDE,ADDRESS_FULL,MUNICIPALITY,POSTAL_CODE,geometry
11,914,YMCA of Greater Toronto,"10 Milner Business Crt, Ste 600, Toronto, ON     M1B 3C6","Malvern, 132",416-609-0218 ext 30042,NA,"<a href=""http://www.ymcagta.org/immigrantservices"" target=""_blank"">www.ymcagta.org/immigrantservices</a>",Newcomers (landed immigrants and convention refugees) * <b>Newcomer Youth Services  </b>-- landed immigrants and convention refugees 13-24 years,"Settlement information and referral * settlement information sessions in various locations * guest speaker series * <b>Newcomer Network</b> * access to computers, fax, photocopiers, and phone * settlement resource library * information on topics such as immigration and citizenship, employment and job searching, access to trades and professions, credential assessment, education and training, language classes, health and housing, community, recreation and consumer resources, human rights, legal and social services, child, youth and family resources, food, shelter, and clothing<br><br>

<b>Community Connections Mentorship Program</b> (formerly HOST Program) -- group activities for newly arrived immigrants and refugees of all ages to help orient them to their new community and establish social and professional networks * trained and experienced volunteer mentors assist, with focus on citizenship and civic engagement or skills and career development<br><br>

<b>Newcomer Youth Services</b> -- youth-focused settlement information and referral * <b>Newcomer Youth Leadership Development </b> -- youth learn about their community, gain volunteer hours, build leadership, language, communication and social skills * workshops and activities for parents and youth","Walk in, no appointment required",English ; Chinese (Cantonese) ; Chinese (Fujian) ; Chinese (Mandarin) ; Hindi ; Punjabi ; Tamil,Wheelchair accessible building including main entrance and barrier free washrooms,"Mon 9 am-5 pm, Tue 9 am-7 pm, Wed-Thu 9 am-5 pm, Fri 9 am-1 pm",(50) Non Profit ; (51) Registered Charity,2016-01-06T05:00:00,364214,NA,NA,NA,NA,10 Milner Business Crt,Scarborough,M1B 3C6,"c(-79.2356996461567, 43.7887362729264)"
12,915,Access Alliance Multicultural Health and Community Services,"3079 Danforth Ave, Toronto, ON     M1L 1A8","Oakridge, 121",416-693-8677,mail@accessalliance.ca,"<a href=""http://www.accessalliance.ca"" target=""_blank"">www.accessalliance.ca</a>",Newcomer immigrants and refugees,"Health and community services<br><br>

<b>Health services</b> -- primary health care services * assessment, medical treatment * prenatal and postnatal care * immunization * diabetes * illness and disease prevention * sexual health and health education * nutrition * individual, marital, family and mental health counselling * no Ontario Health Insurance required for primary care and most specialists * <b>SHY Clinic</b>, Sexually Healthy Youth -- for ages 13-24 years * pregnancy testing and counselling * STI (sexually transmitted infections) testing and free treatment * low cost birth control * non-judgemental, confidential
<br><br>

<b>Community services</b> -- focus on newcomers, women, families with children birth-6 years * peer outreach and support * parenting and parent-child groups * prenatal nutrition and support * food skills groups * health education * lesbian, gay, bisexual, trans and queer (LGBTQ) services * expressive arts * environmental awareness * research and advocacy on newcomer, immigrant and refugee issues<br><br>

<b>Youth services</b> -- drop-in programs * settlement * out of school programs * <b>Community Connections Mentorship Program </b>(formerly HOST) -- group orientation activities for newly arrived immigrant and refugee youth * trained volunteer mentors * help in establishing social and professional networks * development of citizenship and civic engagement * skills and career development<br><br>

<b>Settlement Program</b> -- orientation * needs and eligibility assessments * information and referral * language and skills training * job search and employment counselling * networking * youth settlement * LGBTQ settlement * services in various locations<br><br>

<b>Newcomer Resource Centre</b> -- information and referral to community and government services * access to computers, Internet, photocopier, fax and telephone","Health services -- referral by community agency or self referral * Community, settlement and youth services -- most programs require an appointment, call for details",English ; interpreters available for other languages,Wheelchair accessible building including main entrance and barrier free washrooms,"Mon-Tue, Thu 9 am-8 pm; Wed 1 pm-5 pm; Fri 9 am-5 pm",(50) Non Profit ; (51) Registered Charity,2014-06-12T04:00:00,8237409,NA,NA,NA,NA,3079 Danforth Ave,Scarborough,M1L 1A8,"c(-79.2873721730718, 43.6911775254747)"
13,916,Rexdale Women's Centre,"Thistletown Multi Service Centre, 925 Albion Rd, Rm 309, Toronto, ON     M9V 1A6","Thistletown-Beaumond Heights, 3",416-745-0062,admin@rexdalewomen.org,"<a href=""http://www.rexdalewomen.org"" target=""_blank"">www.rexdalewomen.org</a>",Open to all * focus on newcomer and refugee women,"Support for women and families<br>
Short term supportive counselling * parenting and family supportive counselling * employment and career counselling * support groups for women from various cultures * resources and information for parents and families * information workshops on health related topics, assertiveness, employment, life skills, stress management and parenting<br><br> 

Violence prevention and crisis intervention<br>
Crisis support and counselling for women and children who have experienced or are experiencing violence in the home * legal and medical referrals * accompaniment to legal, medical and social services resources * information, public and community education on wife abuse * support groups for women who are victims of spousal abuse<br> <br> 

Newcomer assistance and integration<br>
Immigrant/newcomer settlement support and counselling * information sessions for newcomers and community residents * information and referral * English language instruction for newcomers to Canada at various locations -- participates in LINC (Language Instruction for Newcomers to Canada) in English, upon assessment by YMCA of Greater Toronto -- see separate entry * English as a Second Language (ESL) preschool program * <b>Family Drop In</b> -- for parents and children of all ages * school readiness program -- see separate entry * Youth Program for ages 16-26 years -- leadership skills, English language skills, integration into the community<br><br>

Ethnocultural seniors program -- see separate entry
<br> <br> 

Community development<br>
Participation on various coalitions, community networks and committees * volunteer opportunities",Drop in,"English ; Arabic ; Assyrian ; Bosnian ; Chinese (Mandarin) ; Croatian ; Dari ; Farsi ; Gujarati ; Hindi ; Pashto ; Punjabi ; Serbian ; Somali ; Spanish ; Tamil ; Twi ; Urdu ; West Indian dialects ; French, Italian, Portuguese -- available upon request","Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Elevator with braille and voice/tone features ; Wheelchair accessible washroom, assistance needed with door","Mon-Fri 9 am-5 pm, also Wed 5 pm-8 pm; Sat 9 am-12 noon * evening appointments available upon request * Family Drop In -- call for schedule and location",(50) Non Profit ; (51) Registered Charity,2015-12-21T05:00:00,10985943,NA,NA,NA,NA,925 Albion Rd,Etobicoke,M9V 1A6,"c(-79.5625803433689, 43.7354704812901)"
14,917,Riverdale Immigrant Women's Centre,"Riverdale Hub, 1326 Gerrard St E, Toronto, ON     M4L 1Z1","Greenwood-Coxwell, 65",416-465-6021,reception.riwc@gmail.com,"<a href=""http://www.riwc.ca"" target=""_blank"">www.riwc.ca</a>","Adults 16 years and older * focus on immigrant women and their families * Essential Pathways to Employment Program -- all Ontario Works (OW) recipients, men and women","Information and referral * counselling -- family, group, crisis and assaulted women * family violence education * advocacy * settlement services -- referrals to legal, housing, health, immigration and employment services * form filling * life skills * job search skills * community economic development<br><br>

<b>Essential Pathways to Employment Program (EPE)</b> -- 8 week program * in-depth skills analysis * action plan development * skills and workplace training * childminding and transportation assistance available through Toronto. Employment and Social Services -- see separate entry<br><br>

<b>Violence Against Women/Youth Program</b> -- individual counselling for crisis, abuse, assault and trauma * stress management, assertiveness training * escort to legal appointments * group and one-on-one counselling for youth experiencing any kind of violence including bullying, child abuse, harassment, girl-on-girl violence, date rape * space for immigrant and refugee youth of colour to explore their cultural identity and sense of belonging in Canada<br><br>

<b>Volunteer and Student Placement Program</b> -- job placements to build skills and gain experience * opportunities in social or settlement services, counselling support, employment help, office administration or reception, marketing and outreach<br><br>

<b>Global Pantry</b> catering service * <b>Social Gardener Cafe</b> * social enterprises",Essential Pathways to Employment Program -- referral through Toronto. Employment and Social Services,English ; French - interpreter available ; Arabic ; Bengali ; Chinese (Cantonese) ; Chinese (Mandarin) ; Chinese (Taiwanese) ; Farsi ; Filipino ; Gujarati ; Hindi ; Kachi ; Marathi ; Punjabi ; Spanish ; Swahili ; Tamil ; Tibetan ; Urdu,Wheelchair accessible building -- call for details,Mon-Fri 9 am-5 pm,(50) Non Profit ; (51) Registered Charity,2015-03-01T05:00:00,10575809,NA,NA,NA,NA,1326 Gerrard St E,former Toronto,M4L 1Z1,"c(-79.3255047342824, 43.6717818672478)"
15,918,Cross-Cultural Community Services Association,"310 Spadina Ave, Ste 301, Toronto, ON     M5T 2E8","Kensington-Chinatown, 78",416-977-4026,info@tccsa.org,"<a href=""http://www.tccsa.on.ca"" target=""_blank"">www.tccsa.on.ca</a>","Focus on Chinese community including newcomers, refugees and citizens","Settlement Services (formerly Immigrant Settlement and Adaptation Program)<br>
Information and referral, orientation, counselling, translation and interpretation<br><br>

<b>Education and Language Training</b><br>
Participates in LINC (Language Instruction for Newcomers to Canada) in English, upon assessment by YMCA of Greater Toronto, (childminding provided) -- see separate entry * heritage language classes for children to 15 years<br><br>

<b>Community Services</b><br>
Youth programs * seniors support group * women's support group * Ontario Early Years parenting program * recreation activities * workshops and seminars * seasonal income tax clinic * volunteer training program
<br><br>
Head office in Markham (905-948-1671), office in Mississauga (905-615-9500)",Call for appointment,English ; Chinese (Cantonese) ; Chinese (Mandarin),Not Accessible,Mon-Fri 9 am-5 pm * Sat 9 am-1 pm by appointment only,(50) Non Profit ; (51) Registered Charity,2016-02-08T05:00:00,14189029,NA,NA,NA,NA,310 Spadina Ave,former Toronto,M5T 2E8,"c(-79.3988577049032, 43.6534301930164)"
16,919,Toronto District School Board,"Centerpoint Mall, 6464 Yonge St, 2nd Fl, Toronto, ON     M2M 3X4","Newtonbrook West, 36",416-395-2045,nscenterpoint@tdsb.on.ca,"<a href=""http://communitysvcs.tdsb.on.ca"" target=""_blank"">communitysvcs.tdsb.on.ca</a>","Newcomers 13 years and older, Permanent residents, Landed immigrants and Convention refugees","<b>Settlement Program</b> (formerly Immigrant Settlement and Adaptation Program) -- orientation programs, language and skills training to help facilitate employment, and programs to welcome newcomers to community * may provide needs and eligibility assessments, pre and post-arrival information and referral, job search and employment counselling, assistance to establish social and professional networks to promote community engagement, and assistance to access a range of settlement services * individual tax filing assistance, seasonal * afterschool supports",Call or drop in,English ; Farsi ; Filipino ; Hungarian ; Korean ; Somali ; Spanish,Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall,Mon-Fri 8:30 am-4:30 pm,(50) Non Profit,2015-02-10T05:00:00,7196008,NA,NA,NA,NA,6464 Yonge St,North York,M2M 3X4,"c(-79.422382771195, 43.7958512114194)"
17,920,YWCA Toronto,"222 Dixon Rd, Ste 207, Toronto, ON     M9P 3S5","Kingsview Village-The Westway, 6",416-964-3883,fteixeira@ywcatoronto.org,"<a href=""http://www.ywcatoronto.org"" target=""_blank"">www.ywcatoronto.org</a>",Newcomer women and girls 13 years and older * permanent residents or convention refugees and temporary residents with work permit under the Live-in Caregiver program,"Individual and group counselling, life skills * information and referral -- health care, housing, education, transportation * career counselling, employment assistance * cash register, customer service and food handling training * Level C emergency first aid and CPR training * computer workshops * access to computers, Internet, fax * art program, field trips * TTC tokens and care for newcomer children provided * volunteer opportunities",Call office,English,Wheelchair accessible building including barrier free washrooms,Mon-Fri 9 am-5 pm * evening programs available * some Saturdays,(50) Non Profit ; (51) Registered Charity,2014-05-07T04:00:00,996693,NA,NA,NA,NA,222 Dixon Rd,Etobicoke,M9P 3S5,"c(-79.5447447305085, 43.6980043476442)"
18,921,YWCA Toronto,"3090 Kingston Rd, Ste 205, Toronto, ON     M1M 1P2","Cliffcrest, 123",416-266-0303,NA,"<a href=""http://www.ywcatoronto.org"" target=""_blank"">www.ywcatoronto.org</a>",Newcomer women and girls 13 years and older * permanent residents or convention refugees and temporary residents with work permit under the Live-in Caregiver program,"Individual and group counselling * skills based training -- Retail, Workplace Hazardous Materials Information System (WHMIS), Food Handling * information and referral -- health care, housing, school, recreation, transportation, banking * career and skills assessment * job search workshops * access to computers, Internet, fax * events and field trips * TTC tokens may be available * volunteer opportunities may be available",Call office,English ; Chinese (Cantonese) ; Chinese (Mandarin) ; Hindi ; Sinhala ; Tibetan ; Urdu,Wheelchair accessible building including barrier free washrooms,"Mon-Fri 9 am-5 pm * evening programs available * group workshops held some 
Saturdays",(50) Non Profit ; (51) Registered Charity,2015-05-06T04:00:00,4228722,NA,NA,NA,NA,3090 Kingston Rd,Scarborough,M1M 1P2,"c(-79.2315480345766, 43.7263091045825)"
19,922,Toronto District School Board,"2870 Ellesmere Rd, Toronto, ON     M1E 4B8","Morningside, 135",416-393-0285,nsmorningside@tdsb.on.ca,"<a href=""http://communitysvcs.tdsb.on.ca"" target=""_blank"">communitysvcs.tdsb.on.ca</a>","Newcomers 13 years and older, Permanent residents, Landed immigrants and Convention refugees","<b>Settlement Program</b> (formerly Immigrant Settlement and Adaptation Program) -- orientation programs, language and skills training to help facilitate employment, and programs to welcome newcomers to community * may provide needs and eligibility assessments, pre and post-arrival information and referral, job search and employment counselling, assistance to establish social and professional networks to promote community engagement, and assistance to access a range of settlement services * individual tax filing assistance, seasonal * afterschool supports * on site childminding",Call or drop in,English ; Hindi ; Portuguese ; Punjabi ; Spanish ; Tamil ; Urdu,Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall,Mon-Fri 10 am-6 pm,(50) Non Profit,2015-08-12T04:00:00,9217367,NA,NA,NA,NA,2870 Ellesmere Rd,Scarborough,M1E 4B8,"c(-79.2038817615383, 43.7831149027915)"
20,923,Youth Assisting Youth,"5734 Yonge St, Ste 401, Toronto, ON     M2M 4E7","Newtonbrook East, 50",416-932-1919,mail@yay.org,"<a href=""http://www.yay.org"" target=""_blank"">www.yay.org</a>","Children and youth 6-15 years experiencing emotional, behavioural, social or cultural adjustment difficulties, including newcomer children in Canada less than 10 years * volunteers -- youth 16-29 years","Matches children and youth with volunteer mentors * parent support * monthly activities * workshops -- child abuse, multiculturalism, behaviour management, mentoring, bullying * literature in Arabic, Bengali, Chinese, Farsi, Korean, Polish, Russian, Spanish, Urdu<br><br>

<b>Community Connections Mentorship Program</b> (formerly HOST Program) -- group activities for newly arrived immigrants and refugees to help orient them to their new community and establish social and professional networks * trained and experienced volunteer mentors assist, with focus on citizenship and civic engagement or skills and career development","Referrals for children -- through medical, legal, social service or educational authorities * interested youth volunteers -- call for details of next orientation meeting",English ; Bengali ; Chinese (Cantonese) ; Chinese (Mandarin) ; Dutch ; Hindi ; Portuguese ; Punjabi ; Spanish ; Urdu ; interpretation for other languages may be arranged,Elevator with braille and voice/tone features ; Barrier-free washroom including door and stall ; Wheelchair accessible rear entrance ; Street parking close to entrance,Mon-Fri 9 am-5 pm,(50) Non Profit ; (51) Registered Charity,2015-05-05T04:00:00,3563886,NA,NA,NA,NA,5734 Yonge St,North York,M2M 4E7,"c(-79.4168605979594, 43.7827541057168)"
21,924,Youth Employment Services YES,"555 Richmond St W, Ste 711, Toronto, ON     M5V 3B1","Waterfront Communities-The Island, 77",416-504-5516,yes@yes.on.ca,"<a href=""http://www.yes.on.ca"" target=""_blank"">www.yes.on.ca</a>",Unemployed and out of school youth 15-30 years,"Individual and group employment counselling, assessment, job postings, referral and follow up * employability improvement, integration into workforce * job search workshops, newcomer services, self-marketing, entrepreneurship
<br> <br> 

<b>Student services</b> -- summer job service * year round services for students seeking part time jobs * workshops * volunteer and co-op placements
<br> <br>
<b>YESAbility</b> -- for postsecondary students with disabilities * employment assistance includes matching skills and qualifications with part time jobs and finding part time employment opportunities * resume and interview tips * realistic employment action plans * assistance in gaining work experience and marketable skills<br><br>

<b>Summer Company</b> -- entrepreneurship program for students aged 15-30 looking to start their own business during summer break * participants receive funding and support<br><br>

<b>BizStart Entrepreneurship Program</b> -- for youth who are not in school * 12-month paid business incubator program includes training and support",Self or agency referral,English ; French,"Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Easy access to elevator ; Elevator with braille and voice/tone features ; Wheelchair accessible washroom, assistance needed with door","Mon, Tue, Thu 9 am-5 pm; Wed 9 am-6 pm; Fri 9 am-4:30 pm",(50) Non Profit ; (51) Registered Charity,2014-05-07T04:00:00,8457243,NA,NA,NA,NA,555 Richmond St W,former Toronto,M5V 3B1,"c(-79.4023781526165, 43.6463830812825)"
22,925,Access Alliance Multicultural Health and Community Services,"761 Jane St, 2nd Fl, Ste 200B, Toronto, ON     M6N 4C4","Rockcliffe-Smythe, 111",416-760-8677,mail@accessalliance.ca,"<a href=""http://www.accessalliance.ca"" target=""_blank"">www.accessalliance.ca</a>",Newcomer immigrants and refugees,"Health and community services<br><br>

<b>Health services </b>-- primary health care services * assessment, medical treatment * prenatal and postnatal care * immunization * diabetes * illness and disease prevention * sexual health and health education * nutrition * individual, marital, family and mental health counselling * no Ontario Health Insurance required for primary care and most specialists<br><br>

<b>Community services </b>-- focus on newcomers, women, families with children birth-6 years * peer outreach and support * parenting and parent-child groups * prenatal nutrition and support * food skills groups * health education * lesbian, gay, bisexual, trans and queer (LGBTQ) services * expressive arts * research and advocacy on newcomer, immigrant and refugee issues<br><br>

<b>Youth services </b>-- drop-in programs * settlement * out of school programs * <b>Community Connections Mentorship Program </b>(formerly HOST) -- group orientation activities for newly arrived immigrant and refugee youth * trained volunteer mentors * help in establishing social and professional networks * development of citizenship and civic engagement * skills and career development <br><br>

<b>Settlement Program </b>-- orientation * needs and eligibility assessments * information and referral * language and skills training * job search and employment counselling * networking * youth settlement * LGBTQ settlement * services in various locations","Health services -- referral by community agency or self referral * Community, settlement and youth services -- most programs require an appointment, call for details",English ; interpreters available for other languages,Wheelchair accessible building including main entrance and barrier free washrooms,"Mon-Tue, Thu 9 am-8 pm; Wed 1 pm-5 pm; Fri 9 am-5 pm",(50) Non Profit ; (51) Registered Charity,2014-06-12T04:00:00,9531709,NA,NA,NA,NA,761 Jane St,York,M6N 4B4,"c(-79.4933591160727, 43.6715505190784)"
23,926,Toronto District School Board,"Malvern Town Centre, 31 Tapscott Rd, Unit T-81, Toronto, ON     M1B 4Y7","Malvern, 132",416-396-4631,nsmalvern@tdsb.on.ca,"<a href=""http://communitysvcs.tdsb.on.ca"" target=""_blank"">communitysvcs.tdsb.on.ca</a>","Newcomers 13 years and older, Permanent residents, Landed immigrants, Convention refugees, Government Assisted refugees and Live-in caretakers","<b>Settlement Program</b> (formerly Immigrant Settlement and Adaptation Program) -- orientation programs, language and skills training to help facilitate employment, and programs to welcome newcomers to community * may provide needs and eligibility assessments, pre and post-arrival information and referral, job search and employment counselling, assistance to establish social and professional networks to promote community engagement, and assistance to access a range of settlement services * individual tax filing assistance, seasonal * afterschool supports",Call or drop in,English ; French ; Arabic ; Chinese (Mandarin) ; Hindi ; Tamil ; Urdu,Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall,Mon-Fri 10 am-6 pm,(50) Non Profit,2015-02-10T05:00:00,6947360,NA,NA,NA,NA,31 Tapscott Rd,Scarborough,M1B 4Y7,"c(-79.2220072741212, 43.8065844855757)"
24,927,Jewish Family & Child,"35 Madison Ave, Toronto, ON     M5R 2S2","University, 79",416-961-9344,info@jfandcs.com,"<a href=""http://www.jfandcs.com"" target=""_blank"">www.jfandcs.com</a>",NA,"Range of services for persons with social and emotional problems * all services confidential<br><br>

<b>Children</b> -- operates as a Children's Aid Society for the Jewish community * investigates allegations of child neglect and abuse * child protection services * adoption and foster home services and recruitment * adoption disclosure * counselling * big brothers and big sisters program * homework club<br><br>

<b>Families</b> -- individual, couple, family and group counselling * family life education and life skills programs * financial assistance combined with rehabilitation for persons on social assistance * assistance in finding employment and accommodation * support for families with special needs children<br><br>

<b>Woman abuse</b> -- counselling, emergency financial assistance, court accompaniment * groups for assaulted women, abusive men * Here to Help -- group program for children (and their mothers) exposed to woman abuse * community outreach * short term accommodation with kosher kitchen for one assaulted woman, with or without children<br><br>

<b>Other services</b> -- friendly visiting * support for single parents, bereaved parents, widows and widowers, immigrants * groups for women who have been or are in hurtful relationships * chaplaincy services for those in hospitals, long term care facilities, correctional institutions, psychiatric hospitals, centres for persons with developmental disabilities * co-op apartment for 4 males who are socially disabled or expsychiatric patients -- subsidies available * Multilingual Access Program -- escort for persons who are already clients * Settlement and Education Partnership in Toronto (SEPT) -- outreach program based in elementary and secondary schools from mid-August to end of June, and in libraries and social service agencies from July to mid-August * Jewish Hospice Program -- in-home palliative care program * social work services in schools * speakers","For information on providing foster care, call above number or Homes for Kids at 1-877-587-5437 (1-877-587-KIDS)",English ; Hebrew ; Russian ; Yiddish,Wheelchair accessible - call for details,"Mon-Thu 9 am-5 pm, Fri 9 am-4 pm",(50) Non Profit ; (51) Registered Charity,2014-08-12T04:00:00,8408637,NA,NA,NA,NA,35 Madison Ave,former Toronto,M5R 2S2,"c(-79.4030633203564, 43.6686364313079)"
25,928,For Youth Initiative,"1652 Keele St, Lower Level, Toronto, ON     M6M 3W3","Keelesdale-Eglinton West, 110",416-653-3311,fyi@foryouth.ca,"<a href=""http://www.foryouth.ca"" target=""_blank"">www.foryouth.ca</a>","Newcomer youth 13-24 years, including permanent residents, landed immigrants, convention refugees and government assisted refugees","<b>Settlement Program</b> -- orientation * needs and eligibility assessments * pre- and post-arrival information and referral on education, settlement, employment, social assistance, housing, recreation * assistance in accessing services * language and skills training * job search and employment counselling * assistance in establishing social and professional networks * problem solving, conflict resolution, cross cultural communication * workshops, seminars<br><br>

<b>Community Connections Mentorship Program</b> (formerly HOST Program) -- group orientation activities for newly arrived immigrants and refugees * trained volunteer mentors * help in establishing social and professional networks * development of citizenship and civic engagement * skills and career development<br><br>

<b>Job Search Workshops (JSW)</b> -- for new immigrants and convention refugees, legally entitled to work in Canada * job search techniques workshops, covering labour market information, access to trades and professions, resume preparation, networking * extensive individual assistance",Call for appointment or drop in,English ; Arabic ; Filipino ; Spanish,Barrier-free washroom including door and stall ; Wheelchair accessible main floor,Mon-Fri 10 am-6 pm * occasional evening hours,(50) Non Profit,2015-05-07T04:00:00,8133423,NA,NA,NA,NA,1652 Keele St,York,M6M 3W3,"c(-79.4729264102503, 43.6838636043782)"
26,929,SEAS Centre,"365 Parliament St, Unit 306, Toronto, ON     M5A 2Z9","Regent Park, 72",416-362-1375,info@seascentre.org,"<a href=""http://www.seascentre.org"" target=""_blank"">www.seascentre.org</a>","Immigrants, refugees and their families","Support Enhance Access Service Centre<br><br>

<b>Immigrants and newcomers</b> -- supportive counselling * information and referral * assistance filling out forms including applications for social assistance, income security and affordable housing * escort and interpretation * free Internet access and training<br> <br> 

<b>Family Services</b> -- individual and family counselling * domestic violence crisis intervention<br> <br> 

<b>Community development</b> -- volunteer recruitment and training * outreach and networking * advocacy * cultural activities<br> <br> 

<b>Youth Programs</b> -- leadership training * newcomer adaptation * recreation<br> <br> 

<b>Seniors Services</b> -- social and recreation activities",Drop in,English ; Chinese (Cantonese) ; Chinese (Mandarin) ; Filipino ; Vietnamese,Not Accessible,Mon-Fri 9 am-5 pm,(50) Non Profit ; (51) Registered Charity,2015-02-24T05:00:00,7650738,NA,NA,NA,NA,365 Parliament St,former Toronto,M5A 2Z9,"c(-79.3664647559934, 43.6610479730675)"
27,930,East Metro Youth Services,"1200 Markham Rd, Ste 200, Toronto, ON     M1H 3C3","Woburn, 137",416-438-3697,emys@emys.on.ca,"<a href=""http://www.emys.on.ca"" target=""_blank"">www.emys.on.ca</a>","Programs vary, call for details","<b>Respect In Schools Everywhere (RISE) Program</b> -- youth led school based violence prevention program for grades 7-12 * addresses bullying, cyber-bullying, dating violence and harassment * available to schools and community agencies * fee<br> <br>

<b>Say Word Journalism Program</b> -- youth training in radio and video broadcasting, photojournalism and magazine production * leadership opportunities such as peer mentorship and advisory committee<br><br>

<b>Studio 2 Multimedia Program</b> -- multimedia, journalism and social skills for marginalized youth and youth living in priority neighbourhoods  * emphasis on violence prevention and media literacy<br><br>

<b>The Zone Youth Centre</b> -- drop-in activities include violence prevention and newcomer services<br><br>

Also consultation and training for educators and other professionals serving youth, in developing and implementing violence prevention strategies * fee",Call for information,English ; Chinese (Cantonese) ; Chinese (Mandarin) ; Dari ; Farsi ; will arrange for interpretation in other languages if necessary,Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall,"Office -- Mon-Thu 9 am-8 pm, Fri 9 am-5 pm * program hours vary, call for details<br><br>

<b>The Zone Youth Centre</b> -- Tue, Thu-Fri 3 pm-5 pm",(50) Non Profit ; (51) Registered Charity,2015-06-04T04:00:00,4498793,NA,NA,NA,NA,1200 Markham Rd,Scarborough,M1H 3C3,"c(-79.232117555141, 43.7766098499215)"
28,931,Elspeth Heyworth Centre for Women,"2350 Finch Ave W, Unit D, Toronto, ON     M9M 2C7","Humber Summit, 21",416-663-2978,info@ehcw.ca,"<a href=""http://"" target=""_blank""></a>","Newcomers, immigrant and refugee women and their families","Newcomer settlement services and job search support services * freedom from violence projects * counselling services for families * group sessions and workshops at various locations * RivInt,</b> <a href=""http://www.rivint.ca/"">www.rivint.ca</a>, translation and interpretation -- fee
<br><br>
Also recreational, cultural and educational services for seniors * youth summer program * offered at 2 locations in Vaughan, 905-747-1515",Call or walk in,English ; Gujarati ; Hindi ; Punjabi ; Russian ; Urdu ; interpreters available for other languages,Wheelchair accessible automatic main entrance ; Dedicated accessible washroom with all features ; Street parking,Mon-Fri 9:30 am-5 pm,(50) Non Profit ; (51) Registered Charity,2015-09-15T04:00:00,10340951,NA,NA,NA,NA,2350 Finch Ave W,North York,M9M 2C7,"c(-79.5439667957457, 43.7521994687463)"
29,932,Family Service Toronto,"747 Warden Ave, Unit 2, Toronto, ON     M1L 4A8","Clairlea-Birchmount, 120",416-755-5565 ext 422,NA,"<a href=""http://www.familyservicetoronto.org"" target=""_blank"">www.familyservicetoronto.org</a>",Newly arrived immigrants and refugees,"<b>Community Connections Mentorship Program</b> (formerly HOST Program) -- group orientation activities * trained volunteer mentors * help in establishing social and professional networks * development of citizenship and civic engagement * skills and career development * supporting women and youth in the Afghan, Iranian, Somali and Tamil communities",NA,English ; Dari ; Farsi ; Pashto ; Somali ; Tamil,Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall,Mon-Fri 9 am-5 pm,(50) Non Profit ; (51) Registered Charity,2015-11-05T05:00:00,2377184,NA,NA,NA,NA,747 Warden Ave,Scarborough,M1L 4A8,"c(-79.2828269434447, 43.7178404625096)"
